#Copernicus Marine Service - https://marine.copernicus.eu
#Product SST_GLO_SST_L4_NRT_OBSERVATIONS_010_001 - https://resources.marine.copernicus.eu/?option=com_csw&view=details&product_id=SST_GLO_SST_L4_NRT_OBSERVATIONS_010_001
#Dataset METOFFICE-GLO-SST-L4-NRT-OBS-SST-MON-V2
#Variable analysed_sst (kelvin)
#Longitude: 46.48°W Latitude: 26.25°S

time,analysed_sst
"2007-01-15T12:00:00.000Z",298.75998
"2007-02-15T12:00:00.000Z",299.68
"2007-03-15T12:00:00.000Z",299.79
"2007-04-15T12:00:00.000Z",299.38
"2007-05-15T12:00:00.000Z",296.63
"2007-06-15T12:00:00.000Z",294.88998
"2007-07-15T12:00:00.000Z",293.68
"2007-08-15T12:00:00.000Z",293.04
"2007-09-15T12:00:00.000Z",294.38
"2007-10-15T12:00:00.000Z",295.35
"2007-11-15T12:00:00.000Z",296.08
"2007-12-15T12:00:00.000Z",297.91998
"2008-01-15T12:00:00.000Z",298.84
"2008-02-15T12:00:00.000Z",298.99
"2008-03-15T12:00:00.000Z",298.94
"2008-04-15T12:00:00.000Z",298.04
"2008-05-15T12:00:00.000Z",296.63
"2008-06-15T12:00:00.000Z",295.15
"2008-07-15T12:00:00.000Z",294.43
"2008-08-15T12:00:00.000Z",294.88
"2008-09-15T12:00:00.000Z",294.49
"2008-10-15T12:00:00.000Z",294.88
"2008-11-15T12:00:00.000Z",296.25
"2008-12-15T12:00:00.000Z",296.97
"2009-01-15T12:00:00.000Z",298.1
"2009-02-15T12:00:00.000Z",299.43
"2009-03-15T12:00:00.000Z",299.72998
"2009-04-15T12:00:00.000Z",298.63
"2009-05-15T12:00:00.000Z",297
"2009-06-15T12:00:00.000Z",295.59
"2009-07-15T12:00:00.000Z",294.18
"2009-08-15T12:00:00.000Z",293.84
"2009-09-15T12:00:00.000Z",295.09
"2009-10-15T12:00:00.000Z",295.38
"2009-11-15T12:00:00.000Z",298.50998
"2009-12-15T12:00:00.000Z",298.88998
"2010-01-15T12:00:00.000Z",300.15
"2010-02-15T12:00:00.000Z",300.93
"2010-03-15T12:00:00.000Z",299.4
