date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2020-12-31,6.3,3.5,881985900,0.7594,0
2020-12-31,6.3,3.5,877819600,0.4136,0
2020-12-31,6.2,3.5,881985900,0.3691,0
2020-12-31,6.2,3.5,877819600,0.5827,0
2020-12-31,6.1,4,877819600,2.6686,0
2020-12-31,6.1,4.5,877819600,1.0691,0
2020-12-31,6.1,4.5,878048600,4.4519,4.4519
2020-12-31,5.9,4.5,881985900,5.0622,0
2020-12-31,5.5,5,878054100,1.8427,1.8427
2020-12-31,5.5,5,877795800,11.2505,11.2505
2020-12-31,5.3,5,877796000,1.0141,1.0141
2020-12-31,5.3,5,881985900,2.2566,0
2020-12-31,5.6,5,878054100,0.6266,0.6266
2020-12-31,5.4,5,877796000,9.9247,9.9247
2020-12-31,5.4,5,877827500,22.8616,22.8616
2020-12-31,5.4,5,877795800,0.6422,0.6422
2020-12-31,5.4,5,878054100,2.4775,2.4269
2020-12-31,4.5,5.5,877821300,16.9663,16.9663
2020-12-31,4.5,5.5,877742700,13.7663,13.7663
2020-12-31,4.1,6,877800500,1.6005,1.6005
2020-12-31,4.2,6.5,877834200,3.3863,3.3863
2020-12-31,4.2,6.5,877835400,10.5069,0
2020-12-31,4.1,7,877816000,2.7424,2.5513
2020-12-31,4.1,7,877927900,2.3816,2.2883
2020-12-31,4.1,7,877792200,2.3255,2.0838
2020-12-31,-10.8,13.5,799948777,2.6638,2.6638
2020-12-31,-10.8,13.5,789891186,1.2752,1.2752
2020-12-31,-10.9,13.5,799948777,1.9138,1.9138
2020-12-31,-10.9,13.5,789891186,6.0541,6.0541
2020-12-31,-7.5,-80,760029039,0.5577,0
2020-12-31,-7.5,-80,760038246,0.045,0
2020-12-31,-7.5,-80,760013533,0.9097,0
2020-12-31,-7.5,-80,760005124,0.6138,0
2020-12-31,-7.5,-80,760015261,0.5558,0
2020-12-31,-7.5,-80,760014964,0.5497,0
2020-12-31,-7.5,-80,760006125,0.4352,0
2020-12-31,-7.5,-80,760016662,2.4469,0
2020-12-31,-7.5,-80,760010474,0.5825,0
2020-12-31,-7.5,-80,760006709,1.018,0
2020-12-31,-7.5,-80,760009908,1.1733,0
2020-12-31,-7.5,-80,760001090,0.4883,0
2020-12-31,-7.5,-80,760022295,0.6727,0
2020-12-31,-7.5,-80,760004606,0.3452,0
2020-12-31,-8,-80,760000680,0.1188,0
2020-12-31,-8,-80,760000203,0.43,0
2020-12-31,-8,-80,760018517,0.0594,0
2020-12-31,-8.5,-80,760000290,2.1288,0
2020-12-31,-8.5,-80,760002940,2.0786,1.0947
2020-12-31,-8.5,-80,760000560,2.0611,2.0611
2020-12-31,-8.5,-80,760001210,1.5505,0
2020-12-31,-8.5,-80,760000870,0.9797,0
2020-12-31,-8.5,-80,760006255,2.1369,1.6055
2020-12-31,-8.5,-80,760001150,2.213,1.7166
2020-12-31,-8.5,-80,760028711,2.0427,0.0241
2020-12-31,-8.5,-80,760000203,0.6972,0
2020-12-31,-8.5,-80,760027200,2.8505,0
2020-12-31,-8.5,-80,760001350,1.3991,0.4719
2020-12-31,-8.5,-80,760061822,1.5369,1.4663
2020-12-31,-8.5,-80,760001250,0.1505,0
2020-12-31,-8.5,-80,760001170,2.3183,1.25
2020-12-31,-8.5,-80,760000310,2.1455,0.96
2020-12-31,-8.5,-80,760000580,1.0913,0.9074
2020-12-31,-7.3,-80,760015259,0.2411,0
2020-12-31,-7.8,-80,760000203,0.1558,0
2020-12-31,-7.8,-80,760000400,0.5813,0
2020-12-31,-7.8,-80,760000680,0.3594,0
2020-12-31,-7.8,-80,760000570,1.3411,0
2020-12-31,-7.8,-80,760015724,0.3641,0
2020-12-31,-7.8,-80,760011391,0.4991,0
2020-12-31,-7.8,-80,760013721,0.1752,0
2020-12-31,-7.8,-80,760038248,0.4469,0
2020-12-31,-8.1,-80,760018517,0.6272,0
2020-12-31,-8.1,-80,760000203,0.5636,0
