#Copernicus Marine Service - https://marine.copernicus.eu
#Product GLOBAL_ANALYSIS_FORECAST_PHY_001_024 - https://resources.marine.copernicus.eu/?option=com_csw&view=details&product_id=GLOBAL_ANALYSIS_FORECAST_PHY_001_024
#Dataset global-analysis-forecast-phy-001-024
#Variable sea_water_velocity (m s-1)
#Longitude: 47.45°W Latitude: 27.02°S
#Depth: 0.49402499198913574 m

time,sea_water_velocity
"2020-05-19T12:00:00.000Z",0.1411909
"2020-05-20T12:00:00.000Z",0.29295033
"2020-05-21T12:00:00.000Z",0.36193717
"2020-05-22T12:00:00.000Z",0.24776067
"2020-05-23T12:00:00.000Z",0.10023647
"2020-05-24T12:00:00.000Z",0.083308265
"2020-05-25T12:00:00.000Z",0.084874384
"2020-05-26T12:00:00.000Z",0.09778503
"2020-05-27T12:00:00.000Z",0.42985016
"2020-05-28T12:00:00.000Z",0.12855794
"2020-05-29T12:00:00.000Z",0.22641772
"2020-05-30T12:00:00.000Z",0.15374182
"2020-05-31T12:00:00.000Z",0.097815506
"2020-06-01T12:00:00.000Z",0.013400371
"2020-06-02T12:00:00.000Z",0.26314884
"2020-06-03T12:00:00.000Z",0.08764287
"2020-06-04T12:00:00.000Z",0.13062492
"2020-06-05T12:00:00.000Z",0.18277404
"2020-06-06T12:00:00.000Z",0.33136976
"2020-06-07T12:00:00.000Z",0.19047071
"2020-06-08T12:00:00.000Z",0.08979913
"2020-06-09T12:00:00.000Z",0.06212897
"2020-06-10T12:00:00.000Z",0.037670277
"2020-06-11T12:00:00.000Z",0.09057573
"2020-06-12T12:00:00.000Z",0.064161494
"2020-06-13T12:00:00.000Z",0.055797983
"2020-06-14T12:00:00.000Z",0.16462465
"2020-06-15T12:00:00.000Z",0.19422916
"2020-06-16T12:00:00.000Z",0.0710472
"2020-06-17T12:00:00.000Z",0.29378343
"2020-06-18T12:00:00.000Z",0.33137313
"2020-06-19T12:00:00.000Z",0.18321276
"2020-06-20T12:00:00.000Z",0.07448017
"2020-06-21T12:00:00.000Z",0.06442515
"2020-06-22T12:00:00.000Z",0.04401442
"2020-06-23T12:00:00.000Z",0.037788767
"2020-06-24T12:00:00.000Z",0.15023167
"2020-06-25T12:00:00.000Z",0.19048342
"2020-06-26T12:00:00.000Z",0.1726927
"2020-06-27T12:00:00.000Z",0.2603821
"2020-06-28T12:00:00.000Z",0.20984045
"2020-06-29T12:00:00.000Z",0.109263085
"2020-06-30T12:00:00.000Z",0.09955772
"2020-07-01T12:00:00.000Z",0.14336814
"2020-07-02T12:00:00.000Z",0.33436924
"2020-07-03T12:00:00.000Z",0.28774408
"2020-07-04T12:00:00.000Z",0.11033022
"2020-07-05T12:00:00.000Z",0.110010654
"2020-07-06T12:00:00.000Z",0.054223415
"2020-07-07T12:00:00.000Z",0.0553421
"2020-07-08T12:00:00.000Z",0.018563684
"2020-07-09T12:00:00.000Z",0.05250603
"2020-07-10T12:00:00.000Z",0.0869815
"2020-07-11T12:00:00.000Z",0.14376388
"2020-07-12T12:00:00.000Z",0.11058486
"2020-07-13T12:00:00.000Z",0.043950893
"2020-07-14T12:00:00.000Z",0.2145041
"2020-07-15T12:00:00.000Z",0.4351259
"2020-07-16T12:00:00.000Z",0.2067651
"2020-07-17T12:00:00.000Z",0.113733776
"2020-07-18T12:00:00.000Z",0.22584027
"2020-07-19T12:00:00.000Z",0.21908295
"2020-07-20T12:00:00.000Z",0.1889527
"2020-07-21T12:00:00.000Z",0.15025772
"2020-07-22T12:00:00.000Z",0.12585472
"2020-07-23T12:00:00.000Z",0.19611509
"2020-07-24T12:00:00.000Z",0.31673744
"2020-07-25T12:00:00.000Z",0.19078341
"2020-07-26T12:00:00.000Z",0.04283477
"2020-07-27T12:00:00.000Z",0.07002519
"2020-07-28T12:00:00.000Z",0.031955663
"2020-07-29T12:00:00.000Z",0.18710113
"2020-07-30T12:00:00.000Z",0.11710521
"2020-07-31T12:00:00.000Z",0.06612876
"2020-08-01T12:00:00.000Z",0.19858147
"2020-08-02T12:00:00.000Z",0.15512651
"2020-08-03T12:00:00.000Z",0.1599787
"2020-08-04T12:00:00.000Z",0.21421297
"2020-08-05T12:00:00.000Z",0.2097845
"2020-08-06T12:00:00.000Z",0.2814442
"2020-08-07T12:00:00.000Z",0.21303318
"2020-08-08T12:00:00.000Z",0.1109078
"2020-08-09T12:00:00.000Z",0.063899666
"2020-08-10T12:00:00.000Z",0.19243027
"2020-08-11T12:00:00.000Z",0.05587805
"2020-08-12T12:00:00.000Z",0.117839396
"2020-08-13T12:00:00.000Z",0.06306634
"2020-08-14T12:00:00.000Z",0.070216455
"2020-08-15T12:00:00.000Z",0.13147777
"2020-08-16T12:00:00.000Z",0.07199523
"2020-08-17T12:00:00.000Z",0.014963409
"2020-08-18T12:00:00.000Z",0.06836691
"2020-08-19T12:00:00.000Z",0.14759478
"2020-08-20T12:00:00.000Z",0.24136108
"2020-08-21T12:00:00.000Z",0.2735664
"2020-08-22T12:00:00.000Z",0.1580022
"2020-08-23T12:00:00.000Z",0.10237493
"2020-08-24T12:00:00.000Z",0.25014904
"2020-08-25T12:00:00.000Z",0.34261563
"2020-08-26T12:00:00.000Z",0.39542288
"2020-08-27T12:00:00.000Z",0.375401
"2020-08-28T12:00:00.000Z",0.27646804
"2020-08-29T12:00:00.000Z",0.17026266
"2020-08-30T12:00:00.000Z",0.05951657
"2020-08-31T12:00:00.000Z",0.075698204
"2020-09-01T12:00:00.000Z",0.03222847
"2020-09-02T12:00:00.000Z",0.08024453
